ph,tds,ntu,label
6.28,0,5.27,0
7.66,0,0.01,1
5.67,186,0,0
6.97,1,0.08,1
2.98,1553,0.02,0
3.22,882,2.88,0
4.44,971,0.9,0
5.92,0,0.13,0
5.38,0,0.35,0
4.88,1008,1.19,0
2.86,896,2.7,0
1.34,1073,2.74,0
6.56,119,0.63,1
6.82,125,0.42,1
7.58,78,0.68,1
7.91,0,1.7,0
6.18,1,0.19,0
5.76,1,0.46,0
5.23,94,15.62,0
5.75,900,1.52,0
6.72,0,2.13,0
6.17,0,1.59,0
6.47,0,2.32,0
6.43,0,3.26,0
6.12,0,0.47,0
6.01,0,0.55,0
4.95,21,0.04,0
3.6,79,0,0
2.1,48,15.17,0
1.85,61,14.54,0
2,53,15.02,0
5.99,59,12.45,0
5.12,134,0.04,0
4.92,139,0.1,0
6.87,0,0.64,1
6.62,0,0.73,1
6.47,0,0.59,1
6.36,6,0.56,1
6.51,0,0.67,1
6.5,904,0.83,0
6.57,902,0.93,0
6.35,674,11.5,0
6.37,714,11.43,0
6.32,754,11.07,0
4.37,912,26.78,0
4.22,923,25.23,0
3.64,922,25.15,0
3.5,921,25.21,0
5.21,71,4.85,0
5.31,66,4.41,0
2.77,203,4.49,0
3.26,927,10.37,0
3.36,915,10.12,0
4.32,197,3.36,0
3.94,702,12.34,0
3.97,691,10.66,0
3.42,736,13.53,0
7.02,88,0.12,1
6.81,75,0.08,1
7.12,101,0.25,1
7.45,130,0.31,1
6.93,54,0.18,1
7.28,190,0.22,1
6.79,82,0.17,1
7.34,240,0.4,1
7.05,166,0.11,1
6.95,199,0.27,1
6.7,120,0.09,1
7.22,280,0.36,1
7.18,90,0.14,1
7.65,210,0.42,1
6.88,60,0.06,1
6.76,155,0.29,1
7.11,180,0.33,1
6.96,240,0.15,1
7.33,270,0.24,1
7.25,250,0.2,1
4.75,112,0.05,0
2.08,276,0.01,0
1.74,219,0.01,0
0.42,1853,0.00,0
2.76,222,0.12,0
2.31,233,0.00,0
2.13,233,0.00,0
2.14,234,0.01,0
0.69,1894,0.01,0
2.40,1491,0.05,0
4.10,1450,16.24,0
4.86,1328,0.05,0
2.29,1068,0.47,0
4.91,26,0.06,0
4.13,1148,0.76,0
1.99,1030,0.28,0
4.61,68,0.06,0
4.85,71,0.07,0
4.96,1079,0.34,0
5.31,1135,0.30,0
5.02,1176,1.58,0
4.87,1223,17.90,0
5.25,1184,25.04,0
5.03,1217,18.97,0
4.23,1447,21.65,0
0.22,1500,1.63,0
0.17,1497,1.75,0
3.21,1375,22.97,0
0.45,1416,15.74,0
1.37,1590,0.50,0
4.18,176,0.15,0
3.35,1479,1.39,0
2.64,1491,1.36,0
3.18,1484,9.32,0
3.49,1503,0.04,0
3.95,1432,5.90,0
4.14,1430,13.14,0
4.12,1423,14.62,0
2.27,1431,3.17,0
7.02,88,0.12,1
6.81,75,0.08,1
7.12,101,0.25,1
7.45,130,0.31,1
6.93,54,0.18,1
7.28,190,0.22,1
6.79,82,0.17,1
7.34,240,0.40,1
7.05,166,0.11,1
6.95,199,0.27,1
6.70,120,0.09,1
7.22,280,0.36,1
7.18,90,0.14,1
7.65,210,0.42,1
6.88,60,0.06,1
6.76,155,0.29,1
7.11,180,0.33,1
6.96,240,0.15,1
7.33,270,0.24,1
7.25,250,0.20,1
7.30,45,0.12,1
6.85,50,0.08,1
7.08,35,0.05,1
6.99,47,0.07,1
7.16,120,0.22,1
6.67,140,0.09,1
7.40,160,0.28,1
6.60,130,0.19,1
7.00,300,0.50,1
7.22,190,0.41,1
7.03,260,0.36,1
6.91,112,0.24,1
7.54,320,0.17,1
7.16,180,0.28,1
6.88,97,0.06,1
7.35,210,0.30,1
6.79,132,0.11,1
7.02,285,0.49,1
7.47,233,0.44,1
6.65,165,0.39,1
7.12,192,0.23,1
7.08,280,0.12,1
7.60,410,0.21,1
7.41,350,0.31,1
7.27,220,0.19,1
6.95,190,0.08,1
7.50,260,0.34,1
6.83,310,0.47,1
7.38,480,0.28,1
5.82,1520,12.40,0
3.11,940,0.92,0
2.40,1760,0.13,0
4.76,980,2.87,0
5.33,1120,15.31,0
6.14,2050,0.45,0
8.91,120,0.56,0
9.22,620,0.77,0
3.04,890,1.22,0
5.16,1400,0.84,0
2.19,1930,2.46,0
1.84,1750,0.09,0
4.63,1110,10.50,0
5.44,2080,0.60,0
3.37,990,3.42,0
4.91,1150,0.18,0
8.82,540,0.91,0
2.76,1560,1.05,0
3.29,1710,14.12,0
9.06,480,0.96,0
7.80,0,0.15,1
7.65,0,0.08,1
7.92,0,0.22,1
8.10,0,0.12,1
7.45,0,0.18,1
7.70,0,0.11,1
7.55,0,0.09,1
8.05,0,0.14,1
7.30,5,0.25,1
7.55,8,0.19,1
7.68,12,0.14,1
7.85,3,0.21,1
7.25,15,0.16,1
7.40,7,0.23,1
7.90,4,0.17,1
7.35,10,0.20,1
6.80,1500,8.50,0
7.10,1800,12.30,0
6.95,1200,15.70,0
7.25,950,9.80,0
6.60,2000,6.90,0
7.15,1600,11.20,0
6.85,1400,7.80,0
7.05,1750,10.50,0
8.50,80,0.35,1   
6.20,45,0.28,1   
5.80,1800,2.10,0  
8.80,120,0.42,1  
6.90,200,0.31,1  
7.60,2200,1.80,0 
5.50,90,0.38,1    
8.20,1900,3.20,0 
